species,year,strata,rpn,rpn_var,rpw,rpw_var
Sablefish,2011,Bering Sea,33236.5520274087,15085147.5542903,91407.5129023215,112461191.985837
Sablefish,2013,Bering Sea,94061.0218998676,136427890.778888,254093.390408602,886384200.35991
Sablefish,2015,Bering Sea,47772.249740219,55184424.7046997,135345.468992575,422204429.634218
Sablefish,2017,Bering Sea,106828.653492912,648933941.703549,181412.11727873,1657391313.12601
Sablefish,2019,Bering Sea,218122.827125429,1591900754.71497,426492.170913019,5532367559.38746
Sablefish,2021,Bering Sea,405576.197908769,698648130.916462,915848.684447859,3361144180.74272
Sablefish,2023,Bering Sea,442355.955525492,2427627557.83167,962495.760236742,11213091712.7836
Sablefish,1995,Central Gulf of Alaska,153683.786906392,143719833.6506,557624.005581848,1688633886.62484
Sablefish,1996,Central Gulf of Alaska,180251.3646209,196606456.79541,733880.413579052,3169463534.91516
Sablefish,1997,Central Gulf of Alaska,164673.726467585,214396850.513641,636699.24259278,3131112471.91945
Sablefish,1998,Central Gulf of Alaska,128441.440055802,154525898.574929,484677.898287203,2248025209.74345
Sablefish,1999,Central Gulf of Alaska,149533.467024118,130432196.336162,579152.202119289,1949046705.25748
Sablefish,2000,Central Gulf of Alaska,117335.552855909,165219377.770676,476380.969919152,2754570926.15492
Sablefish,2001,Central Gulf of Alaska,133891.860232648,147852861.540726,539641.062653955,2405159407.49676
Sablefish,2002,Central Gulf of Alaska,169916.93818659,397498963.247685,624190.590818075,5362983897.56812
Sablefish,2003,Central Gulf of Alaska,159843.326257892,261827508.474016,575747.714133743,3342069760.48439
Sablefish,2004,Central Gulf of Alaska,187674.745251169,405257523.303675,616690.735814569,4355285859.15753
Sablefish,2005,Central Gulf of Alaska,131116.492160625,309879401.34801,444790.081264609,3516244217.07246
Sablefish,2006,Central Gulf of Alaska,161837.823708853,185766514.926565,573891.90834462,2348144954.89939
Sablefish,2007,Central Gulf of Alaska,132635.008791016,149440911.169887,459216.735211665,1786970926.52145
Sablefish,2008,Central Gulf of Alaska,132789.42976172,105560999.082865,468390.15924524,1331907808.19963
Sablefish,2009,Central Gulf of Alaska,137621.404389799,350408495.417794,471063.873205562,4029531912.0976
Sablefish,2010,Central Gulf of Alaska,145995.745223469,260369506.987461,478499.870911759,2807922152.12549
Sablefish,2011,Central Gulf of Alaska,210766.956650418,434976577.47794503,668552.947835082,4332187693.64854
Sablefish,2012,Central Gulf of Alaska,139611.502115581,195370806.126481,447969.77171061,1989065759.88795
Sablefish,2013,Central Gulf of Alaska,114769.086353403,156493194.670739,383467.498357663,1685853542.21389
Sablefish,2014,Central Gulf of Alaska,115248.491158499,30120633.6173155,380076.916344397,331855596.20480597
Sablefish,2015,Central Gulf of Alaska,115804.716110784,98403915.0123623,357551.696295865,955335659.979716
Sablefish,2016,Central Gulf of Alaska,123162.368186951,123849879.584514,350309.673181995,1029117683.09491
Sablefish,2017,Central Gulf of Alaska,142530.239285136,62283267.2595739,412054.202362939,542920726.683324
Sablefish,2018,Central Gulf of Alaska,128470.22976791,106203317.716258,312403.496587402,622542547.289966
Sablefish,2019,Central Gulf of Alaska,170148.79340459,298301909.510794,360405.447441539,1343291996.55842
Sablefish,2020,Central Gulf of Alaska,243239.10263338801,566281242.599424,596335.27125414,3429572827.15043
Sablefish,2021,Central Gulf of Alaska,232724.773031101,426679127.345616,560908.086842196,2470265560.57152
Sablefish,2022,Central Gulf of Alaska,267640.478578969,341397365.095918,672326.905989675,2145872544.87164
Sablefish,2023,Central Gulf of Alaska,295720.957067924,1029397209.3707,703293.482211924,5988584458.94638
Sablefish,1995,Eastern Gulf of Alaska,164910.984805079,93460620.8356982,639088.667414303,1490821203.15773
Sablefish,1996,Eastern Gulf of Alaska,154843.490463385,46216248.2487091,648799.588530097,792587371.759071
Sablefish,1997,Eastern Gulf of Alaska,152334.982041317,76010986.9025699,586740.118198854,1126312046.14672
Sablefish,1998,Eastern Gulf of Alaska,144882.647642931,86424823.9818459,557827.214940817,1421043085.38073
Sablefish,1999,Eastern Gulf of Alaska,155391.890735033,120701268.84298,578413.782049099,1886490026.2277
Sablefish,2000,Eastern Gulf of Alaska,126771.155851528,78582269.0820338,489733.846685303,1186250225.13196
Sablefish,2001,Eastern Gulf of Alaska,120368.284701566,61337082.1458161,435554.064833704,884377659.27694
Sablefish,2002,Eastern Gulf of Alaska,130477.135441176,139665473.594839,474288.165122954,1720774270.82059
Sablefish,2003,Eastern Gulf of Alaska,128859.599089886,89560308.8916423,409821.698705171,864433998.812255
Sablefish,2004,Eastern Gulf of Alaska,137286.498413496,138425013.284544,460838.989588846,1764175921.25925
Sablefish,2005,Eastern Gulf of Alaska,146470.46663414,183960822.338226,504732.933905812,2049564650.17774
Sablefish,2006,Eastern Gulf of Alaska,136873.861662017,193381768.004978,517228.137332659,2902209186.67031
Sablefish,2007,Eastern Gulf of Alaska,144506.55664633,152694563.480914,532160.290443048,2122716435.08534
Sablefish,2008,Eastern Gulf of Alaska,114461.138494637,142946232.959791,424621.58595397,2020652694.49342
Sablefish,2009,Eastern Gulf of Alaska,115090.559727108,89362987.298038,426941.074662758,1229171288.70901
Sablefish,2010,Eastern Gulf of Alaska,182337.294302435,273990375.277537,648640.964582342,3105782573.43755
Sablefish,2011,Eastern Gulf of Alaska,164208.325421597,259712884.16748,533120.532151887,2952705540.14835
Sablefish,2012,Eastern Gulf of Alaska,121250.176353762,95638269.1169625,436682.353372642,1231188499.56438
Sablefish,2013,Eastern Gulf of Alaska,105709.258734062,52682964.6619221,387068.165794085,746668830.680604
Sablefish,2014,Eastern Gulf of Alaska,124179.083894887,169621301.290246,440506.954638148,2393378532.95451
Sablefish,2015,Eastern Gulf of Alaska,125383.631981011,140303113.479354,440484.810152627,1949995770.00952
Sablefish,2016,Eastern Gulf of Alaska,119703.4781763,91447881.1857668,410341.959325479,1129962583.02731
Sablefish,2017,Eastern Gulf of Alaska,123226.052695534,104541065.470756,373625.561320771,973178589.983287
Sablefish,2018,Eastern Gulf of Alaska,112713.346724863,92614213.2365769,271319.528276401,546928302.412066
Sablefish,2019,Eastern Gulf of Alaska,174899.275285058,201174966.771551,414536.550873717,1206051828.2878
Sablefish,2020,Eastern Gulf of Alaska,175461.413178883,143819927.367038,456086.809437585,1001100143.39114
Sablefish,2021,Eastern Gulf of Alaska,168332.722279292,90852306.8222594,452433.654582381,698077010.391322
Sablefish,2022,Eastern Gulf of Alaska,209235.494379624,109366188.77166,565568.879308238,818815859.133372
Sablefish,2023,Eastern Gulf of Alaska,223329.323172325,246376246.004504,557779.673206876,1550475028.25414
Sablefish,1995,Western Gulf of Alaska,58461.573839089,35045955.7206184,187575.372565793,360785053.814619
Sablefish,1996,Western Gulf of Alaska,58454.070694653,41944300.7006177,199883.285966659,490451873.681383
Sablefish,1997,Western Gulf of Alaska,62329.9831830612,22242853.7989302,172471.488230462,170306455.195111
Sablefish,1998,Western Gulf of Alaska,64317.630077073,57354197.1188038,195805.648899631,531564012.783664
Sablefish,1999,Western Gulf of Alaska,66464.3245393111,72343660.06808,179950.817892574,530311366.824421
Sablefish,2000,Western Gulf of Alaska,77948.5322898454,103454515.98399,235486.824089178,944206082.973236
Sablefish,2001,Western Gulf of Alaska,94314.7180125161,134655180.891391,276972.466377413,1161281006.9511
Sablefish,2002,Western Gulf of Alaska,75520.4578669182,84899790.94448,245540.347730976,897476581.935327
Sablefish,2003,Western Gulf of Alaska,77822.5095647186,84978680.5705366,250029.029957841,877163178.416342
Sablefish,2004,Western Gulf of Alaska,64091.1493081365,54040460.4162709,165569.541383167,360648236.514228
